q0,q1,q2,q3,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,0
0.0128,-0.2451,-0.6578,0.712,-0.0395,-1.0024,-0.1127,-0.23,-1.125,2.053,-27.887,1.363,7.649,40
0.3875,-0.0604,0.6768,-0.6229,-0.4462,-0.915,0.0903,0.024,0.034,-0.017,-18.876,-0.726,-14.774,11
0.4897,-0.3012,-0.4833,0.6601,0.2817,-0.7558,0.1938,0.419,-0.06,0.339,14.849,-21.437,-20.387,36
0.7632,-0.6336,-0.1261,0.006,0.0996,-1.3881,0.246,0.018,-0.054,0.713,-9.15,25.199,-16.937,6
0.7173,-0.6572,0.1419,-0.1824,-0.1215,-0.9165,0.0922,0.014,0.085,-0.461,-32.237,4.813,27.299,19
0.779,-0.5876,-0.0771,0.2044,-0.2729,-0.8134,0.3647,-0.385,-0.089,-0.65,12.17,-10.916,27.349,15
0.443,-0.3566,0.6437,-0.5119,-0.2915,-0.9848,-0.1123,-0.01,0.082,-0.023,-7.437,-2.947,-6.981,34
0.1851,-0.2305,-0.5864,0.7541,-0.1967,-1.1459,0.2348,0.148,0.217,-0.014,-21.887,-2.237,-16.2,41
0.0835,0.0485,-0.5801,0.8087,0.1723,-0.8364,0.375,0.239,-0.082,-0.28,-15.137,-1.037,31.499,49
0.2174,-0.1613,-0.6144,0.741,-0.2617,-0.9062,0.2553,-0.365,-0.034,-0.377,-4.307,-16.749,-26.307,18
0.8153,-0.5545,0.1655,-0.0188,-0.2622,-1.1005,0.3471,-0.073,0.038,-1.838,22.049,-17.687,9.299,50
0.6613,-0.5083,0.3415,-0.433,0.0058,-1.2373,0.2368,-0.085,0.647,-0.574,-10.35,8.263,-21.887,21
0.6853,-0.5129,0.3854,-0.3443,0.0742,-0.894,0.1088,0.145,-0.123,0.838,-28.337,-7.037,21.149,32
0.6723,-0.441,0.5386,-0.2515,-0.6503,-0.8212,0.0493,0.073,0.091,0.058,32.699,-21.437,0,48
0.6384,-0.5639,0.3404,-0.3981,-0.1401,-0.9477,0.2602,-0.018,0.145,-0.574,9.415,28.923,-25.974,44
0.2868,-0.3232,-0.6414,0.6338,-0.0844,-0.9877,-0.0922,0.114,0.234,-0.396,24.74,-11.037,26.339,12
0.8153,-0.508,-0.0108,0.2775,-0.1928,-0.8725,0.4428,0.194,-0.048,0.103,-20.1,21.749,-12.137,6
0.6825,-0.5861,0.2618,-0.3494,0.0253,-0.7753,0.0366,0.461,0.342,0.881,17.999,-30.437,-22.337,9
