q0,q1,q2,q3,MotionDeg,Roll,Pitch,Yaw,accX,accZ,0
0.7597,-0.6423,-0.0737,0.0682,3.2113488,-80.47482,177.60036,180.88002,-0.0141,0.0473,51
0.7602,-0.6416,-0.0741,0.0694,3.1600018,-80.38397,177.67911,181.02438,-0.0278,0.0405,51
0.7605,-0.6409,-0.0743,0.0719,3.15468,-80.31902,177.9531,181.38573,-0.0361,0.0112,51
0.7607,-0.6405,-0.0745,0.0731,3.1530793,-80.277405,178.06714,181.54749,-0.0346,-0.0068,51
0.761,-0.64,-0.0747,0.0743,3.1505861,-80.21963,178.17836,181.71165,-0.0205,-0.0141,51
0.7616,-0.6392,-0.0749,0.0756,3.1475894,-80.1142,178.29414,181.89798,-0.017,-0.0004,51
0.7622,-0.6382,-0.075,0.077,3.1479962,-79.99236,178.43344,182.11438,-0.0009,0.0034,51
0.7629,-0.6372,-0.075,0.0786,3.1327133,-79.86479,178.6103,182.37361,0.0078,0.0136,51
0.7637,-0.6361,-0.0747,0.0803,3.1014514,-79.72261,178.84,182.68681,0.017,0.0107,51
0.7644,-0.6351,-0.0741,0.0819,3.0657258,-79.596245,179.10281,183.01923,0.019,0.0361,51
0.7653,-0.6339,-0.0733,0.0834,2.9830544,-79.43673,179.37561,183.36493,0.0356,0.0585,51
0.7663,-0.6327,-0.0721,0.0842,2.8494792,-79.2656,179.61882,183.65555,0.0551,0.0903,51
0.7675,-0.6315,-0.0706,0.084,2.2998297,-79.07377,179.78094,183.83464,0.0747,0.1254,51
0.7702,-0.6292,-0.0653,0.0799,1.9172097,-78.65915,179.99599,183.92108,0.125,0.208,51
0.7715,-0.6285,-0.061,0.0764,1.6148969,-78.48964,180.18224,183.94055,0.1093,0.2309,51
0.7727,-0.6281,-0.0554,0.0723,1.5919392,-78.35174,180.49544,184.02142,0.0625,0.2255,51
0.7732,-0.6285,-0.0486,0.0679,2.0389822,-78.33321,180.96959,184.18987,0.0151,0.225,51
0.7733,-0.6294,-0.0413,0.0633,2.7342172,-78.38496,181.5044,184.38428,-0.0693,0.2353,51
0.7728,-0.6309,-0.0347,0.0583,3.5150754,-78.53253,181.9011,184.43306,-0.124,0.2192,51
0.7725,-0.632,-0.03,0.0524,4.2713795,-78.63431,181.90015,184.12416,-0.1381,0.2338,51
0.7727,-0.6324,-0.0272,0.046,4.9425306,-78.64342,181.54382,183.515,-0.0893,0.2607,51
0.7735,-0.6318,-0.026,0.0399,5.4883513,-78.52371,180.97375,182.76122,-0.0268,0.2817,51
0.7747,-0.6308,-0.0258,0.0348,5.883248,-78.34038,180.37434,182.03764,0.019,0.2988,51
0.776,-0.6293,-0.0261,0.0312,6.0418816,-78.10624,179.88231,181.47998,0.0488,0.3178,51
0.7769,-0.6282,-0.0268,0.0297,5.9242644,-77.93957,179.58987,181.18289,0.04,0.3051,51
0.7774,-0.6275,-0.028,0.0306,5.5204988,-77.84211,179.51427,181.17752,0.0375,0.291,51
0.7771,-0.6276,-0.0299,0.0337,4.866642,-77.87846,179.60506,181.40642,0.0429,0.2612,51
0.7761,-0.6285,-0.0326,0.0386,4.070011,-78.04108,179.80247,181.798,0.06,0.2187,51
0.7745,-0.6298,-0.036,0.0444,3.2746062,-78.285736,180.01544,182.23285,0.0883,0.1699,51
0.773,-0.6311,-0.0399,0.0501,2.693038,-78.524284,180.14807,182.59053,0.1445,0.1406,51
0.772,-0.6317,-0.0436,0.0543,2.3326197,-78.66138,180.12285,182.75508,0.2973,0.1992,51
0.7716,-0.6316,-0.0471,0.0572,2.2426674,-78.68918,179.95888,182.75832,0.2695,0.164,51
0.772,-0.6309,-0.0496,0.0585,2.3728673,-78.60046,179.73549,182.65526,0.3105,0.2031,51
0.7728,-0.6298,-0.0509,0.0581,2.6684825,-78.44139,179.47643,182.4532,0.3447,0.2563,51
0.774,-0.6285,-0.0508,0.0561,3.0598285,-78.23056,179.2274,182.18881,0.3061,0.2465,51
0.7754,-0.6272,-0.0495,0.0531,3.3929317,-78.003174,179.03673,181.92216,0.2421,0.2836,51
