q0,q1,q2,q3,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,0
0.2597,-0.587,0.4245,-0.6384,0.5903,-0.7998,-0.0063,0.726,-2.145,0.311,-3.75,-26.087,-18.137,1
0.2985,-0.5957,0.4146,-0.6196,0.5317,-0.8305,-0.1625,1.143,-1.796,1.418,-3.75,-26.087,-18.137,1
0.3105,-0.5969,0.4127,-0.6139,0.539,-0.8666,-0.2246,1.221,-1.954,1.576,-3.75,-26.087,-18.137,1
0.3923,-0.5687,0.4143,-0.5923,0.5195,-0.8125,0.0517,1.417,0.925,2.376,-3.75,-26.087,-18.137,1
0.3998,-0.5574,0.4201,-0.5939,0.4946,-0.7924,0.0585,1.211,1.391,2.525,-3.75,-26.087,-18.137,1
0.4062,-0.545,0.428,-0.5955,0.4663,-0.7573,0.0561,0.942,1.794,2.643,-3.75,-26.087,-18.137,1
0.4115,-0.532,0.437,-0.597,0.4316,-0.7382,0.0327,0.712,2.075,2.69,-3.75,-26.087,-18.137,1
0.4158,-0.5189,0.4468,-0.5984,0.3896,-0.7143,0.02,0.509,2.211,2.673,-3.75,-26.087,-18.137,1
0.4256,-0.474,0.4841,-0.5996,0.1875,-0.7495,0.0175,-0.072,1.734,2.088,-1.05,27.449,-22.037,1
0.4362,-0.4259,0.5229,-0.5957,-0.0673,-0.9541,-0.0454,-0.009,1.404,2.182,-1.05,27.449,-22.037,1
0.4391,-0.417,0.5302,-0.5934,-0.0917,-0.9516,-0.059,-0.036,1.237,2.119,-1.05,27.449,-22.037,1
0.4577,-0.3919,0.5495,-0.5786,-0.0507,-1.081,-0.0175,0.056,-0.371,1.246,-1.05,27.449,-22.037,1
0.4709,-0.3864,0.5526,-0.5686,0.02,-1.3134,-0.0083,-0.049,-0.426,1.106,-1.05,27.449,-22.037,1
0.4763,-0.3838,0.5543,-0.5643,0.0019,-1.2011,-0.0327,0.055,-0.235,0.595,-1.05,27.449,-22.037,1
0.4782,-0.3839,0.5534,-0.5634,-0.0307,-1.1293,-0.0366,0.142,-0.385,0.241,-1.05,27.449,-22.037,1
0.4755,-0.4001,0.5402,-0.5673,0.2963,-1.3422,0.185,-0.206,0.735,-0.458,-3.3,18.599,-17.687,1
0.47,-0.3981,0.5423,-0.5713,0.2666,-1.2207,0.226,-0.044,1.4,-0.651,-3.3,18.599,-17.687,1
0.3578,-0.4528,0.5157,-0.6331,0.2236,-0.6977,-0.0117,0.08,-0.803,-1.979,-11.4,18.599,-11.837,1
0.3444,-0.4729,0.5,-0.6384,0.3813,-0.7363,0.0698,-0.04,-0.465,-1.882,-11.4,18.599,-11.837,1
0.3395,-0.4781,0.4952,-0.6409,0.4204,-0.7695,0.0507,0.031,-0.284,-1.824,-11.4,18.599,-11.837,1
0.3342,-0.4825,0.4906,-0.6439,0.4477,-0.79,0.0468,0.083,-0.061,-1.738,-11.4,18.599,-11.837,1
0.3282,-0.4855,0.4867,-0.6476,0.4555,-0.7939,0.0698,0.085,0.312,-1.686,-11.4,18.599,-11.837,1
0.3213,-0.4868,0.4838,-0.6523,0.4521,-0.8212,0.0795,0.063,0.805,-1.609,-11.4,18.599,-11.837,1
0.3133,-0.4863,0.4821,-0.6579,0.4414,-0.852,0.101,0.004,1.308,-1.512,-11.4,18.599,-11.837,1
0.3042,-0.484,0.4815,-0.6642,0.4179,-0.9042,0.1318,-0.083,1.799,-1.439,-11.4,18.599,-11.837,1
0.2941,-0.4801,0.4821,-0.6712,0.3979,-0.9721,0.165,-0.174,2.267,-1.382,-11.4,18.599,-11.837,1
0.2829,-0.4746,0.4836,-0.6788,0.3398,-1.0087,0.1816,-0.264,2.716,-1.336,-11.4,18.599,-11.837,1
0.2581,-0.4609,0.4887,-0.6942,0.1572,-1.0957,0.1318,-0.476,3.14,-1.285,-19.05,13.649,-8.537,1
0.1937,-0.4455,0.496,-0.7196,-0.1093,-1.225,0.0551,-0.561,0.873,-1.333,-19.05,13.649,-8.537,1
0.1825,-0.4497,0.4942,-0.7211,-0.0893,-1.1508,0.0351,-0.322,0.102,-1.097,-19.05,13.649,-8.537,1
0.1798,-0.4526,0.4932,-0.7207,-0.0454,-1.0932,0.0551,-0.24,-0.234,-0.992,-19.05,13.649,-8.537,1
0.1771,-0.4613,0.4907,-0.7175,0.0263,-1.0292,0.0097,-0.251,-0.894,-0.883,-19.05,13.649,-8.537,1
0.1829,-0.4869,0.4837,-0.7038,0.2182,-1.208,-0.0883,-0.155,-2.603,-0.529,-19.05,13.649,-8.537,1
0.1892,-0.4981,0.4804,-0.6965,0.354,-1.2338,-0.0849,-0.033,-3.097,-0.264,-19.05,13.649,-8.537,1
0.2059,-0.5188,0.4736,-0.6811,0.6562,-1.1459,-0.0869,0.255,-3.196,0.242,-19.05,13.649,-8.537,1
0.2217,-0.533,0.4673,-0.6694,0.7314,-0.892,-0.0854,0.456,-2.287,0.317,-19.05,13.649,-8.537,1
0.3605,-0.4979,0.4747,-0.6298,0.2529,-0.8598,0.0209,0.823,1.396,2.443,-31.05,8.549,-1.787,1
0.3659,-0.4864,0.4809,-0.631,0.1918,-0.8339,0.0004,0.739,1.56,2.391,-31.05,8.549,-1.787,1
0.3709,-0.4751,0.487,-0.6319,0.1293,-0.8208,-0.0332,0.642,1.531,2.31,-31.05,8.549,-1.787,1
0.3867,-0.4476,0.5028,-0.6301,0.0278,-0.8662,-0.0649,0.37,0.668,2.147,27.136,15.749,1.813,1
0.3929,-0.4408,0.5072,-0.6276,0.0151,-0.8891,-0.0732,0.278,0.363,2.127,27.136,15.749,1.813,1
0.3995,-0.4349,0.5114,-0.6241,0.0288,-0.9204,-0.0727,0.241,0.095,2.098,27.136,15.749,1.813,1
0.4062,-0.4298,0.5151,-0.6203,0.0239,-0.9199,-0.0585,0.199,-0.085,2.017,27.136,15.749,1.813,1
0.4127,-0.4255,0.5183,-0.6163,0.0122,-0.9384,-0.0502,0.164,-0.204,1.888,27.136,15.749,1.813,1
0.4329,-0.4165,0.5249,-0.6028,0.0356,-0.9785,-0.0356,0.134,-0.733,1.686,27.136,15.749,1.813,1
0.4399,-0.4148,0.5262,-0.5977,0.0727,-0.9736,-0.0356,0.091,-0.864,1.64,27.136,15.749,1.813,1
0.4584,-0.4118,0.5295,-0.5828,0.1674,-1.0092,-0.0512,-0.035,-0.862,1.388,27.136,15.749,1.813,1
0.4641,-0.4114,0.53,-0.5781,0.1694,-1.0375,-0.0498,0.001,-0.913,1.291,27.136,15.749,1.813,1
0.4699,-0.4113,0.5299,-0.5736,0.2016,-1.0761,-0.0566,0.082,-1.015,1.221,27.136,15.749,1.813,1
0.4904,-0.3958,0.5316,-0.5657,0.1796,-1.0253,0.0234,0.074,0.878,-0.021,27.736,25.499,6.013,1
0.4871,-0.394,0.5336,-0.568,0.1816,-1.0703,0.0371,-0.031,0.976,-0.155,27.736,25.499,6.013,1
0.4474,-0.375,0.5563,-0.5911,0.02,-1.1381,0.1918,-0.143,2.716,-1.116,27.736,25.499,6.013,1
0.4164,-0.3703,0.5649,-0.6084,-0.0493,-1.0214,0.123,-0.546,1.487,-1.419,27.736,25.499,6.013,1
0.3903,-0.3957,0.5649,-0.6098,0.0278,-1.0161,0.1582,-0.225,-0.312,-0.732,27.736,25.499,6.013,1
0.379,-0.4493,0.5123,-0.626,0.3139,-0.7446,0.1347,0.084,-1.312,-1.559,22.036,26.549,3.613,1
0.3781,-0.4565,0.506,-0.6265,0.353,-0.7832,0.1455,0.215,-1.281,-1.504,22.036,26.549,3.613,1
0.3374,-0.4846,0.4642,-0.66,0.2084,-0.9868,0.0781,-0.035,0.148,-1.631,10.186,21.449,10.813,1
0.3317,-0.488,0.4611,-0.6627,0.2031,-1.0424,0.1,-0.121,0.129,-1.659,10.186,21.449,10.813,1
0.2873,-0.5112,0.4542,-0.6706,0.2177,-1.1918,0.1503,-1.113,0.216,-1.47,10.186,21.449,10.813,1
0.2642,-0.5196,0.4587,-0.6705,0.2089,-1.1831,0.0756,-1.112,0.523,-1.067,10.186,21.449,10.813,1
0.2571,-0.521,0.4602,-0.6711,0.1938,-1.1542,0.0747,-0.989,0.626,-0.982,10.186,21.449,10.813,1
0.2451,-0.5227,0.463,-0.6724,0.124,-1.0444,0.0556,-0.78,0.543,-0.84,10.186,21.449,10.813,1
0.3571,-0.5538,0.4424,-0.6082,0.4189,-0.9301,-0.0903,0.918,0.144,1.666,-2.114,14.399,20.863,1
0.3653,-0.549,0.4443,-0.6063,0.4155,-1.0126,-0.1215,0.892,-0.224,1.823,0.436,28.199,24.463,1
0.3744,-0.5447,0.4454,-0.6037,0.4213,-1.019,-0.0874,0.983,-0.516,1.852,0.436,28.199,24.463,1
0.4555,-0.4147,0.5163,-0.5948,0.0454,-0.9697,0.0312,0.108,1.282,1.02,14.836,-16.337,5.563,1
0.4499,-0.3975,0.5381,-0.5915,0.0488,-1.2509,0.0947,-0.102,0.207,0.091,14.836,-16.337,5.563,1
0.4451,-0.3903,0.5415,-0.5968,0.0136,-1.1909,0.1079,0.183,0.895,-0.023,14.836,-16.337,5.563,1
0.4428,-0.3874,0.5434,-0.5987,0.0312,-1.228,0.1147,0.04,0.941,0.008,14.836,-16.337,5.563,1
0.4399,-0.3848,0.5459,-0.6001,0.0415,-1.2495,0.1323,-0.131,1.001,0.022,26.386,-8.537,-4.787,1
0.422,-0.3798,0.5554,-0.6075,-0.0351,-0.9033,0.2021,-0.344,0.264,-0.5,26.386,-8.537,-4.787,1
0.4206,-0.3903,0.5526,-0.6043,0.1054,-0.8959,0.2221,-0.394,-0.876,-0.356,26.386,-8.537,-4.787,1
0.423,-0.4017,0.5476,-0.5997,0.1655,-0.9741,0.2348,-0.236,-0.65,-0.275,26.386,-8.537,-4.787,1
0.4228,-0.4041,0.5463,-0.5994,0.1479,-0.9897,0.2182,-0.168,-0.42,-0.329,26.386,-8.537,-4.787,1
0.4222,-0.4061,0.545,-0.5997,0.1264,-1.0161,0.1806,-0.073,-0.263,-0.396,26.386,-8.537,-4.787,1
0.4094,-0.4552,0.4929,-0.6181,0.3286,-0.9086,0.1967,0.317,-0.778,-1.016,21.436,-7.187,0.164,1
0.406,-0.4618,0.482,-0.624,0.2543,-0.9555,0.1591,0.318,-0.072,-0.726,21.436,-7.187,0.164,1
0.4044,-0.4625,0.4798,-0.6262,0.2285,-0.9731,0.142,0.273,0.099,-0.657,21.436,-7.187,0.164,1
