q0,q1,q2,q3,MotionDeg,Roll,Pitch,Yaw,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,0
0.7553,-0.649,-0.068,0.0603,3.3709145,-81.35677,177.56015,180.28146,0.0195,-0.8701,0.0688,0.293,-0.47,0.071,20.699,-2.237,3.299,51
0.7561,-0.6477,-0.0693,0.0619,3.3203564,-81.188705,177.5503,180.38104,0.0209,-0.8554,0.08,0.312,-0.425,0.046,20.699,-2.237,3.299,51
0.7569,-0.6465,-0.0705,0.0634,3.2820017,-81.02928,177.54268,180.47775,0.0102,-0.8466,0.0805,0.315,-0.379,0.041,20.699,-2.237,3.299,51
0.7585,-0.6442,-0.0724,0.0659,3.2479954,-80.71868,177.5367,180.66025,-0.0029,-0.8212,0.0678,0.276,-0.304,0.045,20.699,-2.237,3.299,51
0.7597,-0.6423,-0.0737,0.0682,3.2113488,-80.47482,177.60036,180.88002,-0.0141,-0.8388,0.0473,0.216,-0.245,0.08,20.699,-2.237,3.299,51
0.7602,-0.6416,-0.0741,0.0694,3.1600018,-80.38397,177.67911,181.02438,-0.0278,-0.8754,0.0405,0.182,-0.212,0.115,20.699,-2.237,3.299,51
0.7605,-0.6409,-0.0743,0.0719,3.15468,-80.31902,177.9531,181.38573,-0.0361,-0.9155,0.0112,0.148,-0.182,0.153,20.699,-2.237,3.299,51
0.7607,-0.6405,-0.0745,0.0731,3.1530793,-80.277405,178.06714,181.54749,-0.0346,-0.9267,-0.0068,0.166,-0.193,0.145,20.699,-2.237,3.299,51
0.7616,-0.6392,-0.0749,0.0756,3.1475894,-80.1142,178.29414,181.89798,-0.017,-0.9545,-0.0004,0.269,-0.209,0.141,20.699,-2.237,3.299,51
0.7644,-0.6351,-0.0741,0.0819,3.0657258,-79.596245,179.10281,183.01923,0.019,-1.0756,0.0361,0.356,-0.138,0.311,20.699,-2.237,3.299,51
0.7653,-0.6339,-0.0733,0.0834,2.9830544,-79.43673,179.37561,183.36493,0.0356,-1.1074,0.0585,0.352,-0.059,0.301,17.849,-6.737,1.949,51
0.7675,-0.6315,-0.0706,0.084,2.2998297,-79.07377,179.78094,183.83464,0.0747,-1.1171,0.1254,0.357,0.264,0.131,17.849,-6.737,1.949,51
0.7702,-0.6292,-0.0653,0.0799,1.9172097,-78.65915,179.99599,183.92108,0.125,-1.1625,0.208,0.366,0.828,-0.056,17.849,-6.737,1.949,51
0.7715,-0.6285,-0.061,0.0764,1.6148969,-78.48964,180.18224,183.94055,0.1093,-1.2299,0.2309,0.3,1.143,-0.024,17.849,-6.737,1.949,51
0.7727,-0.6281,-0.0554,0.0723,1.5919392,-78.35174,180.49544,184.02142,0.0625,-1.2666,0.2255,0.25,1.442,0.051,17.849,-6.737,1.949,51
0.7732,-0.6285,-0.0486,0.0679,2.0389822,-78.33321,180.96959,184.18987,0.0151,-1.3486,0.225,0.067,1.657,0.167,17.849,-6.737,1.949,51
0.7727,-0.6324,-0.0272,0.046,4.9425306,-78.64342,181.54382,183.515,-0.0893,-1.0937,0.2607,-0.033,1.264,-0.658,17.849,-6.737,1.949,51
0.7747,-0.6308,-0.0258,0.0348,5.883248,-78.34038,180.37434,182.03764,0.019,-0.915,0.2988,0.252,0.702,-0.794,17.849,-6.737,1.949,51
0.776,-0.6293,-0.0261,0.0312,6.0418816,-78.10624,179.88231,181.47998,0.0488,-0.8466,0.3178,0.324,0.403,-0.606,17.849,-6.737,1.949,51
0.7769,-0.6282,-0.0268,0.0297,5.9242644,-77.93957,179.58987,181.18289,0.04,-0.8105,0.3051,0.282,0.083,-0.345,17.849,-6.737,1.949,51
0.7774,-0.6275,-0.028,0.0306,5.5204988,-77.84211,179.51427,181.17752,0.0375,-0.8041,0.291,0.174,-0.307,-0.026,17.849,-6.737,1.949,51
0.7771,-0.6276,-0.0299,0.0337,4.866642,-77.87846,179.60506,181.40642,0.0429,-0.851,0.2612,-0.048,-0.705,0.26,17.849,-6.737,1.949,51
0.7761,-0.6285,-0.0326,0.0386,4.070011,-78.04108,179.80247,181.798,0.06,-0.915,0.2187,-0.272,-1.049,0.467,17.849,-6.737,1.949,51
0.7745,-0.6298,-0.036,0.0444,3.2746062,-78.285736,180.01544,182.23285,0.0883,-0.9814,0.1699,-0.388,-1.28,0.541,17.849,-6.737,1.949,51
0.773,-0.6311,-0.0399,0.0501,2.693038,-78.524284,180.14807,182.59053,0.1445,-1.0317,0.1406,-0.367,-1.358,0.485,20.699,-9.287,5.099,51
0.772,-0.6317,-0.0436,0.0543,2.3326197,-78.66138,180.12285,182.75508,0.2973,-1.0209,0.1992,-0.24,-1.111,0.309,20.699,-9.287,5.099,51
0.772,-0.6309,-0.0496,0.0585,2.3728673,-78.60046,179.73549,182.65526,0.3105,-1.0034,0.2031,0.142,-0.543,-0.02,20.699,-9.287,5.099,51
0.7728,-0.6298,-0.0509,0.0581,2.6684825,-78.44139,179.47643,182.4532,0.3447,-0.9819,0.2563,0.226,-0.138,-0.126,20.699,-9.287,5.099,51
0.774,-0.6285,-0.0508,0.0561,3.0598285,-78.23056,179.2274,182.18881,0.3061,-0.9804,0.2465,0.337,0.291,-0.222,20.699,-9.287,5.099,51
0.7754,-0.6272,-0.0495,0.0531,3.3929317,-78.003174,179.03673,181.92216,0.2421,-0.9082,0.2836,0.329,0.607,-0.229,20.699,-9.287,5.099,51
0.776,-0.6268,-0.047,0.0501,3.7580428,-77.91646,179.03935,181.7855,0.1811,-0.8437,0.3066,0.103,0.801,-0.112,20.699,-9.287,5.099,51
0.7764,-0.6269,-0.0436,0.0469,4.213299,-77.89005,179.15726,181.72061,0.1337,-0.8452,0.2919,-0.004,0.968,-0.023,20.699,-9.287,5.099,51
0.7769,-0.6268,-0.0397,0.0434,5.141141,-77.838715,179.31111,181.67259,0.0649,-0.8745,0.247,0.059,1.08,-0.039,20.699,-9.287,5.099,51
0.7777,-0.627,-0.0283,0.0339,6.0292544,-77.78343,179.85748,181.6309,-0.0634,-0.8173,0.2324,0.011,0.975,0.011,20.699,-9.287,5.099,51
0.778,-0.6269,-0.0249,0.0313,6.429555,-77.74887,180.04721,181.65314,-0.103,-0.8129,0.2358,0.071,0.877,0.011,20.699,-9.287,5.099,51
0.7784,-0.6265,-0.022,0.0289,6.7702074,-77.68059,180.18527,181.64636,-0.1391,-0.8085,0.2255,0.114,0.767,-0.009,20.699,-9.287,5.099,51
0.7798,-0.6251,-0.0181,0.0251,7.2871914,-77.44925,180.2966,181.55537,-0.1806,-0.8178,0.228,0.241,0.472,-0.08,20.699,-9.287,5.099,51
0.7808,-0.624,-0.0173,0.0238,7.428595,-77.27755,180.25226,181.46303,-0.185,-0.812,0.2343,0.305,0.291,-0.13,20.699,-9.287,5.099,51
0.7818,-0.6228,-0.0173,0.0229,7.5087857,-77.09757,180.13805,181.33582,-0.164,-0.7968,0.2749,0.321,0.117,-0.141,20.699,-9.287,5.099,51
0.7827,-0.6217,-0.0177,0.0224,7.5256424,-76.93412,180.0135,181.22047,-0.1611,-0.7958,0.2934,0.294,-0.018,-0.141,20.699,-9.287,5.099,51
0.7834,-0.6207,-0.0185,0.0223,7.5152836,-76.79422,179.87848,181.1172,-0.1264,-0.7822,0.3193,0.241,-0.106,-0.124,21.599,-12.587,4.949,51
0.7838,-0.6201,-0.0193,0.0223,7.4852047,-76.711586,179.75787,181.02727,-0.0971,-0.7934,0.3437,0.141,-0.128,-0.1,21.599,-12.587,4.949,51
0.784,-0.62,-0.0199,0.0224,7.4549994,-76.68823,179.68079,180.97319,-0.0659,-0.7915,0.3452,0.045,-0.107,-0.065,21.599,-12.587,4.949,51
0.7838,-0.6202,-0.0201,0.0225,7.480201,-76.720474,179.66455,180.9636,-0.02,-0.8281,0.353,-0.08,0.009,0.004,21.599,-12.587,4.949,51
0.7836,-0.6204,-0.0197,0.0223,7.549637,-76.75256,179.70126,180.97957,-0.0249,-0.8413,0.3491,-0.111,0.099,0.014,21.599,-12.587,4.949,51
0.7836,-0.6205,-0.0181,0.0214,7.7371774,-76.76085,179.83133,181.03293,-0.0341,-0.8339,0.3432,-0.049,0.204,0.022,21.599,-12.587,4.949,51
0.7837,-0.6204,-0.0171,0.021,7.794298,-76.744446,179.93048,181.0907,-0.0454,-0.8408,0.3403,-0.019,0.199,0.047,21.599,-12.587,4.949,51
0.7838,-0.6204,-0.0159,0.0211,7.79903,-76.73746,180.11705,181.2443,-0.0649,-0.8554,0.3271,-0.028,0.176,0.126,21.599,-12.587,4.949,51
